filename,category,tags,Description,permalink,year,Label,lat,lng
sa2059.jpg,Archivio Museo Vallivo Valfurva Mario Testorelli,alpinismo|alpinisti,"Scalatore su roccia - La fotografia ritrae Mario Compagnoni in Valdidentro, in località Crap de Scègn. Mario ricorda di aver partecipato a uno dei corsi di arrampicata su roccia organizzati dal CAI nei primi anni Ottanta. In Alta Valtellina non c'era una grande tradizione di arrampicata su roccia. Mario data la fotografia ai primissimi anni 1980, prima di sposarsi, nel 1982.",https://siamoalpi.it/archivio/scheda/?id=2059,1985,Montagne,46.498383,10.279372
sa3652.jpg,Archivio Museo Vallivo Valfurva Mario Testorelli,abiti|animali|valichi,"Gruppo in posa con orso al passo dello Stelvio - La fotografia apparteneva a Senatore ""Sena"" Airoldi ed è stata donata dai familiari all'Associazione Museo Vallivo della Valfurva. Sena Airoldi (di origine saronnese) fu il fondatore, nel 1958, de ""La Benedicta - Casa per ferie"" della Fondazione COE (Centro Orientamento Educativo) a Santa Caterina Valfurva. Attualmente il soggetti ritratti non sono stati identificati, così come non è nota l'occasione (sicuramente particolare vista la presenza di un orso in posa allo Stelvio!) in cui sono stati fotografati.",https://siamoalpi.it/archivio/scheda/?id=3652,1940,Tempo libero,46.476543,10.368635
sa3653.jpg,Archivio Museo Vallivo Valfurva Mario Testorelli,animali|case cantoniere|turisti|valichi,"Orso e scimmietta al passo dello Stelvio - La fotografia apparteneva a Senatore ""Sena"" Airoldi ed è stata donata dai familiari all'Associazione Museo Vallivo della Valfurva. Sena Airoldi (di origine saronnese) fu il fondatore, nel 1958, de ""La Benedicta - Casa per ferie"" della Fondazione COE (Centro Orientamento Educativo) a Santa Caterina Valfurva. Attualmente i soggetti ritratti non sono stati identificati, così come l'occasione (sicuramente particolare, visto la presenza di un orso e una scimmietta allo Stelvio!) in cui sono stati fotografati.",https://siamoalpi.it/archivio/scheda/?id=3653,1940,Montagne,46.476543,10.368635
sa3654.jpg,Archivio Museo Vallivo Valfurva Mario Testorelli,animali,"Uomo in posa accanto all'orso al Passo Stelvio - La fotografia apparteneva a Senatore ""Sena"" Airoldi ed è stata donata dai familiari all'Associazione Museo Vallivo della Valfurva. Sena Airoldi (di origine saronnese) fu il fondatore, nel 1958, de ""La Benedicta - Casa per ferie"" della Fondazione COE (Centro Orientamento Educativo) a Santa Caterina Valfurva. Attualmente il soggetto ritrattio non è stato identificato, così come l'occasione (sicuramente particolare vista la presenza di un orso in posa allo Stelvio!) in cui sono stati fotografati.",https://siamoalpi.it/archivio/scheda/?id=3654,1940,Tempo libero,46.476543,10.368635
sa3655.jpg,Archivio Museo Vallivo Valfurva Mario Testorelli,abiti|animali,"Uomo in posa con orso - La fotografia apparteneva a Senatore ""Sena"" Airoldi ed è stata donata dai familiari all'Associazione Museo Vallivo della Valfurva. Sena Airoldi (di origine saronnese) fu il fondatore, nel 1958, de ""La Benedicta - Casa per ferie"" della Fondazione COE (Centro Orientamento Educativo) a Santa Caterina Valfurva. Attualmente il soggetto ritrattio non è stato identificato, così come l'occasione (sicuramente particolare vista la presenza di un orso in posa allo Stelvio!) in cui sono stati fotografati.",https://siamoalpi.it/archivio/scheda/?id=3655,1940,Tempo libero,46.476543,10.368635
sa3657.jpg,Archivio Museo Vallivo Valfurva Mario Testorelli,abiti|animali,"Turisti allo Stelvio con cagnolino - La fotografia apparteneva a Senatore ""Sena"" Airoldi ed è stata donata dai familiari all'Associazione Museo Vallivo della Valfurva. Sena Airoldi (di origine saronnese) fu il fondatore, nel 1958, de ""La Benedicta - Casa per ferie"" della Fondazione COE (Centro Orientamento Educativo) a Santa Caterina Valfurva. Attualmente i soggetti ritratti non sono stati identificati, così come non conosciamo l'occasione in cui è stata scattata la foto.",https://siamoalpi.it/archivio/scheda/?id=3657,1940,Tempo libero,46.476543,10.368635
sa3723.jpg,Archivio Museo Vallivo Valfurva Mario Testorelli,alpeggio|animali|donne|lavori femminili|pastorizia,"Mungitura delle capre - La fotografia è stata scattata da Mario Testorelli durante gli anni Settanta del Novecento. Mario Testorelli fotografava frequentemente familiari e vicini di casa impegnati nelle attività agricole e domestiche che in quegli anni andavano scomparendo. La donna ritratta sta mungendo le capre in alpeggio. Durante la permanenza in alpeggio, in particolare quando gli animali pascolavano, i pastori dovevano fare attenzione affinché gli animali non si facessero male o non si perdessero. Se gli animali si allontanavano ed erano recuperati da un altro pastore, il proprietario umilmente era costretto a recarsi da lui per chiedere gentilmente di riavere indietro le proprie bestie. Il recupero di capre, mucche o pecore da parte di terzi era definito ""campérèr""; per un pastore dover andare a riprendersi animali ""campéréi"" da altri era un gesto accompagnato da una sorta di vergogna per il disonore di non essere stati in grado di badare adeguatamente alle proprie greggi.",https://siamoalpi.it/archivio/scheda/?id=3723,1975,Agricoltura e pastorizia,46.414532,10.346873
sa4039.jpg,Archivio Museo Vallivo Valfurva Mario Testorelli,abiti|bambini|istruzione,"Scolaresca classe 1928-1929 - Sul retro la seguente scritta con pennino a inchiostro blu: ""Scolaresca di Bormio V° classe 1928 -1929"". La fotografia apparteneva alla maestra Rina Pietrogiovanna ed è stata fornita da sua figlia Maria Bedognè. La maestra Rina è autrice della scritta sul retro della foto e il soggetto è una delle classi in cui ha insegnato. Archivio Maria Bedognè.",https://siamoalpi.it/archivio/scheda/?id=4039,1939,Scuola,46.466358,10.370467
sa4140.jpg,Archivio Museo Vallivo Valfurva Mario Testorelli,abiti|coscritti|feste|giovani|uomini,"Coscritti furvesi classe 1930 - La fotografia ritrae i coscritti del 1930 in posa nei pressi dei Bagni Nuovi di Bormio. Era usanza dei coscritti maschi recarsi ai Bagni Nuovi per un'abluzione termale durante i festeggiamenti, in una vasca a loro dedicata. Il primo a sinistra è Nicolino Andreola (Placid), in ultimissima fila Nunzio Rezzoli (Ghetin), dietro l'uomo con la fisarmonica Renato Vitalini (Giacuméto); regge il cartello Oliviero Vitalini e accanto a lui, a destra, si riconosce Ugo Alberti. L'ultimo sulla destra in seconda fila è Gilberto Vitalini. Sotto il cartello, leggermente a destra, Fulvio Testorelli (Friga), in prima fila in basso a destra Dante Cola e il secondo in terza fila da destra è Roberto Vitalini, fratello di Enrico che ha fornito la foto. Archivio Enrico Vitalini.",https://siamoalpi.it/archivio/scheda/?id=4140,1951,Cerimonie feste e fiere,46.483345,10.363785
sa4142.jpg,Archivio Museo Vallivo Valfurva Mario Testorelli,abiti|animali|case|strade,"Ritratto con toro - La fotografia, fornita da Enrico Vitalini, ritrae suo zio Giacóméto (di cui non sappiamo altro) insieme a una donna. In primo piano campeggia la figura di uno splendido esemplare di toro. Gli archetti che collegano le abitazioni e si intravedono sopra il vicolo sullo sfondo permettono di collocare esattamente la posizione in cui sono ritratti i soggetti: ci troviamo a Bormio davanti al vicolo che collega piazzetta Anzi a piazza del Kuerc. Il vicolo è sostanzialmente identico a quello attuale. Archivio Enrico Vitalini.",https://siamoalpi.it/archivio/scheda/?id=4142,1920,Agricoltura e pastorizia,46.466358,10.370467
